estudiante_skey,id_estudiante,dni,nombre,apellido,genero,fecha_nacimiento,nacionalidad,anio_ingreso,edad_ingreso,egreso_carrera,anio_egreso,abandono_carrera,anio_abandono,nombre_programa,tipo_programa,duracion_programa,anio_plan_programa,facultad_programa,valid_from,valid_to,es_actual,total_inscripciones,es_ingresante_sin_cursada
28888,17363,25693332,Valeria,Apaza,F,2000-06-13,Uruguaya,2020,20,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
28954,37234,25704997,Santiago,Medina,M,2000-08-27,Argentina,2020,20,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
28963,79527,25706578,Cristian,Suárez,M,2002-10-12,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
28974,63886,25708202,Sergio,Ortega,M,2001-12-01,Argentina,2020,19,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29024,115833,25719004,Gastón,Acosta,M,2002-03-04,Argentina,2020,18,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29033,105410,25720552,Sebastián,Ramos,M,2002-05-25,Argentina,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29088,26120,25732027,Ignacio,Herrera,M,2005-11-18,Argentina,2020,15,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29117,103040,25738028,Cristian,Suárez,M,2007-06-25,Argentina,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29157,57274,25744693,Silvina,Bogado,F,2001-10-12,No especificado,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29221,64960,25755942,Sergio,Oliveira,M,2007-12-09,Boliviana,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29225,50732,25757105,Ramiro,Flores,M,2005-10-06,Argentina,2020,15,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29293,74691,25772181,Martín,Ramos,M,2003-01-01,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29450,16957,25805414,Ramiro,Oliveira,M,2000-11-01,Peruana,2020,20,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29455,52507,25806217,Daniela,Ledesma,F,2006-03-12,Argentina,2020,14,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29480,81148,25810217,Gastón,Castro,M,2005-12-16,Argentina,2020,15,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29512,41960,25815844,Sofía Sofía,Cruz,F,2004-12-27,Argentina,2021,17,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29800,118922,25871633,Pablo,Flores,M,2002-11-05,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29810,62784,25873215,Martín,Ramos,M,1998-09-30,Argentina,2020,22,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29878,23586,25888919,Emilio,Álvarez,M,2005-03-26,Argentina,2020,15,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29961,39154,25906187,Damián,Fernández,M,2002-12-01,Argentina,2020,18,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
29970,358,25908177,Ezequiel,Carrizo,M,2006-10-06,Argentina,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30018,30370,25916402,Lucas,Núñez,M,1998-01-23,Argentina,2024,26,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30045,91233,25921625,Iván,Suárez,M,1999-07-29,No especificado,2020,21,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30074,60596,25928161,Iván,Pereira,M,2007-01-24,Boliviana,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30119,105763,25935427,Nicolás,Ramos,M,2003-05-29,Argentina,2020,17,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30121,104930,25936199,Rodrigo,Condori,M,2005-01-01,Peruana,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30177,7545,25947292,Alejandra,Molina,F,2001-08-14,Argentina,2021,20,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30224,120915,25955373,Federico,Reyes,M,1999-11-15,Argentina,2024,25,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30226,51259,25955566,Santiago,González,M,2002-07-04,Argentina,2020,18,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30228,91355,25955620,Facundo,Núñez,M,2007-01-03,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30318,45064,25970329,Diego,Quispe,M,2001-01-01,Venezolana,2020,19,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30328,71395,25972908,Lucas,Vargas,M,2007-06-12,Argentina,2021,14,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30333,58063,25974128,Hernán,Gómez,M,2006-03-05,Argentina,2020,14,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30360,48387,25978060,Lucas Lucas,Vega,M,2004-08-30,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30367,118672,25979391,Ezequiel,Santos,M,2007-10-29,Brasileña,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30393,94444,25985382,Noelia,Villalba,F,1998-03-27,Paraguaya,2020,22,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30401,42080,25987451,Rodrigo,Moreno,M,1995-05-13,Argentina,2020,25,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30415,94833,25990451,Patricia,Vera,F,2004-02-15,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30426,91909,25994096,Maximiliano,Mendoza,M,2007-01-01,Argentina,2020,13,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30454,84010,26001898,Florencia,Medina,F,2004-02-16,Argentina,2020,16,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30486,84015,26009753,Iván,Rojas,M,2006-07-12,Argentina,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30487,7738,26009808,Sergio,Suárez,M,2004-11-09,Argentina,2020,16,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30580,117378,26027099,Damián,Núñez,M,2005-01-01,Argentina,2021,16,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30585,100259,26028626,Ezequiel,Ojeda,M,2004-02-17,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30637,66764,26038919,Rodrigo,Cruz,M,2006-10-29,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30742,14418,26059149,Tomás,Vargas,M,2001-01-31,Argentina,2020,19,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30744,128929,26059198,Tomás,Cabrera,M,2006-01-01,Argentina,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30885,123050,26087686,Damián,Peralta,M,2007-06-27,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30897,27262,26090193,Diego,Giménez,M,2001-07-07,Brasileña,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30900,128282,26090566,Valeria,Ríos,F,2001-03-06,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30930,58944,26096899,Gonzalo Gonzalo,González,M,2003-02-28,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30981,21211,26106827,Lucas,Molina,M,2002-12-25,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
30998,3731,26111535,Matías,Souza,M,2000-07-12,Paraguaya,2020,20,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31039,59603,26120214,Gonzalo,Suárez,M,2006-12-28,Argentina,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31116,105172,26135548,Claudia,Vargas,F,2006-04-07,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31133,54127,26139187,Ezequiel,Torres,M,2002-11-04,Argentina,2020,18,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31139,52334,26140375,Cristian,Ruiz,M,1999-12-07,Argentina,2020,21,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31167,10846,26146576,Fernando,Ramos,M,2001-04-07,Argentina,2020,19,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31179,63066,26148772,Patricia,Martínez,F,1998-04-07,Argentina,2024,26,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31195,51375,26152679,Julián,Medina,M,2000-02-17,Argentina,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31311,23551,26178481,Sabrina,Souza,F,2006-09-19,Paraguaya,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31317,58048,26180809,Martín,Souza,M,2004-08-14,Uruguaya,2020,16,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31321,113432,26181652,Damián,Reyes,M,2006-08-10,Argentina,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31354,119012,26187912,Sabrina,Apaza,F,2003-08-10,Brasileña,2020,17,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31406,7979,26198076,Sergio,García,M,2007-11-05,Argentina,2020,13,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31426,105876,26200886,Hernán,Álvarez,M,2000-05-13,Argentina,2021,21,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31440,17641,26204439,Micaela,García,F,2006-08-01,Argentina,2020,14,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31460,6827,26208042,Diego,Flores,M,1998-02-12,Argentina,2020,22,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31596,29799,26232003,Gonzalo,Pérez,M,1999-10-06,Argentina,2020,21,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31603,30285,26233554,Nicolás,Díaz,M,2001-01-20,Colombiana,2020,19,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31605,104208,26233928,Pablo,Romero,M,2002-05-04,Argentina,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31656,125414,26241987,Fernando,Ríos,M,2001-05-01,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31697,111736,26248909,Vanesa,Acosta,F,1999-02-06,Argentina,2024,25,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31702,106441,26249559,Diego,Vega,M,1999-12-07,Argentina,2020,21,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31802,10327,26272884,Lucas,Vargas,M,2004-02-27,Argentina,2020,16,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31826,39566,26276525,Cristian,Sánchez,M,2001-04-21,Argentina,2020,19,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31843,77096,26279596,Cecilia,Ruiz,F,2000-08-31,Argentina,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
31914,75037,26293734,Patricia,Vega,F,2001-04-27,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32016,120955,26310388,Rodrigo,Gómez,M,2004-05-14,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32027,36317,26312205,Claudio,Carrizo,M,1999-12-04,Argentina,2020,21,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32058,54561,26318229,Noelia,Herrera,F,2006-01-01,Argentina,2020,14,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32064,88381,26319543,Lucas,Vega,M,2002-06-01,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32074,106408,26321200,Emilio,Giménez,M,2007-02-03,Chilena,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32227,28363,26349122,Julián,Suárez,M,2002-03-18,Argentina,2020,18,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32258,95835,26356434,Gonzalo,García,M,2007-12-01,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32291,99530,26363512,Florencia,Ojeda,F,2007-11-15,Argentina,2021,14,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32325,66876,26370013,Hernán,Quispe,M,2001-06-23,Brasileña,2020,19,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32338,69197,26373289,Paola,Fernández,F,2003-11-13,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32352,95343,26376285,Leandro,Vega,M,2004-02-19,Argentina,2020,16,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32426,115389,26394409,Laura,Cabrera,F,2005-01-28,Argentina,2020,15,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32429,89418,26394716,Soledad,Cabrera,F,2000-04-30,No especificado,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32449,19492,26398080,Rodrigo,Herrera,M,2002-09-24,Argentina,2020,18,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32564,90689,26419095,Gonzalo,Sánchez,M,1999-07-01,Argentina,2020,21,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32576,53642,26421339,Sergio,Gómez,M,2007-03-27,Argentina,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32621,28140,26431269,Gastón,Ruiz,M,2000-08-20,Argentina,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32625,71872,26432397,Gastón,Medina,M,2003-04-03,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32674,48621,26442802,Sebastián,Oliveira,M,2002-04-26,Venezolana,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32676,111441,26443572,Tomás,Santos,M,2004-05-09,Peruana,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32740,29052,26455315,Pablo,Martínez,M,2004-04-29,Argentina,2020,16,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32784,123586,26464988,Sebastián,Pérez,M,2007-11-09,Argentina,2020,13,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32813,55350,26471830,Nicolás,Mendoza,M,1997-11-06,Argentina,2020,23,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32887,70682,26487259,Sebastián,Reyes,M,2007-06-28,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
32961,98866,26504512,Matías,Mendoza,M,2006-01-04,Argentina,2020,14,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33060,18727,26525909,Natalia,Ríos,F,2004-11-30,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33175,31697,26548299,Gonzalo,Herrera,M,2007-01-02,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33207,50299,26554843,Alejandro,Flores,M,2004-09-08,Argentina,2021,17,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33245,35823,26563783,Laura,Muñoz,F,2002-03-29,Boliviana,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33252,93604,26564767,Damián,Suárez,M,2004-11-30,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33299,122547,26571391,Damián,Romero,M,2002-06-28,Argentina,2021,19,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33326,50729,26577771,Federico,Morales,M,1997-07-07,Argentina,2020,23,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33378,117613,26588521,Florencia,Torres,F,2007-06-23,Argentina,2021,14,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33435,35032,26600385,Martín,Moreno,M,2006-07-12,Argentina,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33473,45752,26606938,Alejandro,Ríos,M,2002-12-02,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33479,37362,26607846,Matías,Díaz,M,2002-05-22,Argentina,2020,18,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33517,5646,26614231,Emilio,Flores,M,2002-05-01,Argentina,2021,19,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33549,34171,26619390,Ramiro,Pérez,M,2006-08-20,Argentina,2020,14,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33554,100604,26619679,Iván,Souza,M,2003-06-02,Chilena,2020,17,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33619,114471,26631729,Facundo,Carrizo,M,2002-01-02,Argentina,2020,18,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33620,63377,26631946,Sofía,Herrera,F,2004-11-16,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33651,123450,26637468,Ignacio,Fuentes,M,2005-10-22,Paraguaya,2020,15,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33681,56371,26643149,Hernán,Medina,M,2001-02-02,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33696,48183,26645957,Facundo,Mendoza,M,2001-08-31,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33794,112901,26665347,Gonzalo,Flores,M,1998-10-27,Argentina,2024,26,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33851,92744,26678702,Iván,García,M,2003-09-18,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33867,109497,26682121,Emilio,Ruiz,M,2006-11-04,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33882,47593,26686082,Martín,Ortega,M,2005-05-09,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33911,38616,26692083,Mariana,Villalba,F,2005-12-29,Chilena,2021,16,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33940,97152,26701310,Damián,Vera,M,2002-08-05,Argentina,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
33947,14818,26702370,Paola,Castro,F,2005-05-05,Argentina,2021,16,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34054,103240,26723776,Carolina Carolina,Castro,F,2005-09-22,Argentina,2020,15,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34073,83483,26727414,Ignacio Ignacio,Ojeda,M,2003-01-01,Argentina,2020,17,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34207,33931,26754227,Vanesa,Ojeda,F,2004-12-09,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34234,33156,26760138,Hernán,Ledesma,M,2006-02-04,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34280,104311,26769103,Martín,Molina,M,2007-08-02,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34291,128497,26771334,Hernán,Pérez,M,2008-01-03,Argentina,2020,12,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34305,25487,26775382,Sergio,García,M,1998-04-16,Argentina,2020,22,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34347,115376,26784721,Nicolás,Vega,M,2007-08-16,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
34412,129963,26798085,Ignacio,Gómez,M,2001-09-15,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
